	language	image_url	caption_reference_description	page_title	section_title
10450	nl	https://upload.wikimedia.org/wikipedia/commons/8/8f/NORWEGIAN_PZKPFW_III.JPG	Twee Pzkpfw. III exemplaren in Noorse dienst. Links een Ausf. N voorzien met de korte 7.5 cm KwK 37 L/24 kanon, rechts een Ausf. J/1 met de lange 50 mm KwK. 39 L/60 kanon.	Panzerkampfwagen III	Bewapening
10451	nl	https://upload.wikimedia.org/wikipedia/commons/1/1b/Amiral_am%C3%A9d%C3%A9e_bienaim%C3%A9.jpg	Admiraal Amédée Bienaimé met de eerste medaille	Herinneringsmedaille aan Madagaskar	De medailles
10452	nl	https://upload.wikimedia.org/wikipedia/commons/d/dd/Crypte_Sint-Hermes_in_Ronse.jpg	Crypte Sint-Hermes Ronse	Sint-Hermesbasiliek	Crypte
10453	nl	https://upload.wikimedia.org/wikipedia/commons/a/ad/Phalaenopsis_hieroglyphica_toapel.jpg	Phalaenopsis hieroglyphica	Taxonomie en fylogenie van de orchideeënfamilie	Subtribus: Polystachyinae
10454	nl	https://upload.wikimedia.org/wikipedia/commons/2/24/SanCarlino4FontaneKloosterhof3.JPG	Oplossing voor de binnenhoek.	San Carlo alle Quattro Fontane	Interieur
10455	nl	https://upload.wikimedia.org/wikipedia/commons/6/66/Molen_De_Hoop_Garderen_baard.jpg	Baard	De Hoop (Garderen)	Geschiedenis
10456	nl	https://upload.wikimedia.org/wikipedia/commons/d/df/Alto_orinoco5.jpg	Jonge Yanomamö in Alto Orinoco, Venezuela	Inheemse Venezolanen	Yanomamö
10457	nl	http://upload.wikimedia.org/wikipedia/commons/0/03/Galvanized_surface.jpg	Een thermisch/vuur verzinkt voorwerp	Galvaniseren	Het doel van galvaniseren
10458	nl	https://upload.wikimedia.org/wikipedia/commons/2/29/Verkenners%2C_Bestanddeelnr_902-7595.jpg	Verkenners in Lunteren (1948)	Katholieke Verkenners	Na de Tweede Wereldoorlog
10459	nl	https://upload.wikimedia.org/wikipedia/commons/6/68/Sandra_Reemer_1979.jpg	"Sandra Reemer
geboren in 1950"	17 oktober	Geboren
10460	nl	https://upload.wikimedia.org/wikipedia/commons/a/a7/Alfons-vermeulen-1305570876.jpg	"Alfons Vermeulen
20 juli"	Lijst van personen overleden in 1965	Juli
10461	nl	https://upload.wikimedia.org/wikipedia/commons/c/c9/Narva_area.png	Situatie rond Narva op 1 maart 1944	43e Legerkorps (Wehrmacht)	1944
10462	nl	https://upload.wikimedia.org/wikipedia/commons/7/77/Wawrinka_1.JPG	Wawrinka slaat op tijdens zijn verrassende overwinning op Andy Murray in de derde ronde van het US Open van 2010	Stanislas Wawrinka	2010
10463	nl	https://upload.wikimedia.org/wikipedia/commons/a/a2/Titanic_lifeboat.jpg	Reddingssloep D, de laatste reddingssloep die succesvol te water werd gelaten	Titanic (schip, 1912)	Evacuatie
10464	nl	https://upload.wikimedia.org/wikipedia/commons/2/29/Apollotempel.gif	Reconstructie van de 6e-eeuwse Apollo-tempel. Ontwerp van David Degelin	Apollo-tempel van Korinthe	Grondplan
10465	nl	https://upload.wikimedia.org/wikipedia/commons/7/7c/Abdicatie_Beatrix.jpg	Menigte juicht de koninklijke familie toe tijdens de troonswisseling in 2013.	Republicanisme in Nederland	Voor de monarchie
10466	nl	https://upload.wikimedia.org/wikipedia/commons/f/f4/Class14shunter.jpg	De D9520 als museumloc	Class 14	Gebruik en behoud
10467	nl	http://upload.wikimedia.org/wikipedia/commons/8/85/Bledzew_Ko%C5%9Bci%C3%B3%C5%82_i_klasztor-1843.jpg	Cisterciënzer abdij van Bledzew in 1843.	Bledzew (plaats)	Geschiedenis
10468	nl	https://upload.wikimedia.org/wikipedia/commons/5/51/Persia-Tomb-of-Cyrus-the-Great-Passargad-530BC.JPG	Graftombe van Cyrus de Grote, de stichter van het Perzische Rijk, in Pasargadae	Pasargadae	Graftombe van Cyrus II
10469	nl	https://upload.wikimedia.org/wikipedia/commons/c/c2/CurtvonFrancois.jpg	"Curt von François
geboren op 2 oktober 1852"	Lijst van personen geboren in 1852	Oktober
10470	nl	https://upload.wikimedia.org/wikipedia/commons/0/0b/Monument_Bombardement_Alexanderkazerne_10_mei_1940_img.nr._06.jpg	Aangezicht van het Monument Bombardement Alexanderkazerne	Monument Bombardement Alexanderkazerne	Monument
10471	nl	https://upload.wikimedia.org/wikipedia/commons/3/31/Nissan_SERENA_Rider_S-HYBRID_%28C26%29_front.JPG	Een C26 uit 2010.	Nissan Serena	Vierde generatie (C26; 2010-2016)
10472	nl	https://upload.wikimedia.org/wikipedia/commons/f/fa/Wendingen1927Kurvers.jpg	Tijdschrift Wendingen over het Vlaamsch Volkstooneel en De Meester	Johan de Meester jr.	Vlaamsch Volkstooneel, 1924-1928
10473	nl	https://upload.wikimedia.org/wikipedia/commons/6/66/De_Hertgang_Halsteren.jpg	Landgoed De Hertgang	Halsteren	Natuur en landschap
10474	nl	https://upload.wikimedia.org/wikipedia/commons/0/03/Gait_diagram_with_formulas.jpg	Voor symmetrische gangen zijn de theoretisch mogelijke gangen weer te geven in een gangendiagram in 16 driehoeken. Naast deze basisformules zijn er 28 overgangsformules, wat het totaal brengt op 44	Gang (dieren)	Symmetrisch
10475	nl	https://upload.wikimedia.org/wikipedia/commons/3/32/USS_Fort_McHenry%3B10124305.jpg	AAV's op USS Fort McHenry	Verenigde Staten	Defensie
10476	nl	https://upload.wikimedia.org/wikipedia/commons/c/c2/Parvati_Ganesha.jpg	Parvati met Ganesha	Hindoeïsme	Ganesha
10477	nl	https://upload.wikimedia.org/wikipedia/commons/c/c1/Afvoerverdeling_rijn.svg	Verdeling van de afvoer over de Rijntakken in Nederland, onder normale omstandigheden	Rijn	Volume
10478	nl	https://upload.wikimedia.org/wikipedia/commons/b/bd/Mesa_temple.JPG	Tempel van Mesa	Agia Paraskevi (Lesbos)	Agia Paraskevi (stad)
10479	nl	https://upload.wikimedia.org/wikipedia/commons/5/53/Pauline_van_de_Ven_%281985%29.jpg	"Pauline van de Ven
geboren op 2 januari 1956"	Lijst van personen geboren in 1956	Januari
10480	nl	https://upload.wikimedia.org/wikipedia/commons/a/a4/Battle_of_Varna.png	De slaglinies.	Slag bij Varna	De slag
10481	nl	https://upload.wikimedia.org/wikipedia/commons/e/e6/Washington%27s_Inauguration.jpg	"Ramon de Elorriaga: ""De inauguratie van George Washington"", The Granger Collection, New York. De inhuldiging van de eerste president van de Verenigde Staten vond plaats in New York.
 De Amerikaanse Vrijheidsoorlog leidde tot onafhankelijkheid zonder dat aan de belangen van de Amerikaanse elite schade werd toegebracht."	Vroegmoderne Tijd	Tijd van de grote revoluties
10482	nl	https://upload.wikimedia.org/wikipedia/commons/9/91/Gronings-Museum_2004.jpg	Het Groninger Museum in 2004	Stadsgeografie	Stadsgeografie in Nederland
10483	nl	https://upload.wikimedia.org/wikipedia/commons/a/a9/Prague_07-2016_View_from_Petrinska_Tower_img3.jpg	De Žižkov Televisietoren van afstand	Praag	Cultuur
10484	nl	https://upload.wikimedia.org/wikipedia/commons/0/05/Feestelijke_ontvangst_van_Frederik_Hendrik_op_het_buitenhof_te_%27s-Gravenhage.jpg	Frederik Hendrik wordt op 2 oktober feestelijk onthaald in Den Haag na de overwinning op Grol. Cornelis Koning	Beleg van Groenlo (1627)	Viering van de overwinning
10485	nl	https://upload.wikimedia.org/wikipedia/commons/f/f9/Cocheim_%28Merian%29.jpg	De burcht in 1646	Rijksburcht Cochem	Geschiedenis
10486	nl	https://upload.wikimedia.org/wikipedia/commons/0/09/Maastricht%2C_Het_Bat_met_OLV-poort_en_Visserspoort%2C_detail_stadsgezicht_Simon_de_Bellomonte%2C_1570.jpg	Het Bat vóór de ommuring van de Vissersmaas (Simon de Bellomonte, ca. 1570)	Batpoort	Bouw eerste middeleeuwse stadsmuur en Visserspoort
10487	nl	https://upload.wikimedia.org/wikipedia/commons/0/03/Tsjerkhofspaed_1.jpg	Kerk van Pietersbierum	Pietersbierum	Kerk
10488	nl	https://upload.wikimedia.org/wikipedia/commons/0/07/Lucas_County%2C_Ohio_Courthouse_at_night.jpg	Lucas County Courthouse	Lucas County (Ohio)	Bevolkingsontwikkeling
10489	nl	https://upload.wikimedia.org/wikipedia/commons/7/7f/Estandarte_de_Felipe_VI_de_Espa%C3%B1a.svg	Vlag van koning Felipe VI	Lijst van koningen van Spanje	Koninkrijk Spanje (1479/1509-1873)
10490	nl	https://upload.wikimedia.org/wikipedia/commons/e/e6/Eotrachodon_maxilla.png	De unieke bouw van de snuit	Eotrachodon	Beschrijving
10491	nl	https://upload.wikimedia.org/wikipedia/commons/0/09/Sint-Augustinusschool.png	Sint-Augustinusschool	Stasegem	Onderwijs
10492	nl	https://upload.wikimedia.org/wikipedia/commons/f/fc/Rize_districts.png	Districten van Rize	Lijst van districten van Turkije	Rize (provincie)
10493	nl	https://upload.wikimedia.org/wikipedia/commons/e/e8/COLLECTIE_TROPENMUSEUM_Copulerende_atlasvlinders_TMnr_10006408.jpg	Paring van de atlasvlinder.	Atlasvlinder	Voortplanting
10494	nl	https://upload.wikimedia.org/wikipedia/commons/2/2f/C%2BB-Egypt-Fig8-DraggingDhnthotepStatue.PNG	Gebruik van touw in Egypte	Touw	Geschiedenis
10495	nl	https://upload.wikimedia.org/wikipedia/commons/6/68/Great_Ex_Telescope_Telescope.jpg	125 cm telescoop op de Exposition Universelle in 1900	Refractor (telescoop)	Geschiedenis
10496	nl	https://upload.wikimedia.org/wikipedia/commons/c/c7/GeorgeSPatton.jpg	Patton in maart 1943	2e Legerkorps (Verenigde Staten)	Bevelhebbers
10497	nl	https://upload.wikimedia.org/wikipedia/commons/7/7c/Messi_arms.jpg	"Lionel Messi
geboren in 1987"	24 juni	Geboren
10498	nl	http://upload.wikimedia.org/wikipedia/commons/c/ce/Gila_Monster_head.jpg	Detail voorzijde gilamonster.	Korsthagedissen	Uiterlijke kenmerken
10499	nl	https://upload.wikimedia.org/wikipedia/commons/5/5d/International_Badminton_Federation_member_nations.PNG	Overzicht van de vijf badmintonconfederaties en de aangesloten landen	Badminton World Federation	Regionale confederaties
10500	nl	https://upload.wikimedia.org/wikipedia/commons/e/ef/NZ_election_billboards.jpg	Billboards tijdens de verkiezingscampagne in 2005	Nieuw-Zeelandse verkiezingen 2008	Verkiezingen 2005
10501	nl	https://upload.wikimedia.org/wikipedia/commons/2/29/Provinces_of_the_Moquegua_region_in_Peru.png	De provincies in de regio Moquegua.	Moquegua (regio)	Bestuurlijke indeling
10502	nl	https://upload.wikimedia.org/wikipedia/commons/4/46/WhitmanCountyWA.jpg	Boerderij in Whitman County (Washington)	Palouse (gebied)	Geschiedenis
10503	nl	https://upload.wikimedia.org/wikipedia/commons/5/55/Powned_op_bezoek_MP_Rutte.jpg	Rutger Castricum bij minister-president Rutte in het Torentje	Lijst van presentatoren van PowNed	Televisie
10504	nl	https://upload.wikimedia.org/wikipedia/commons/0/05/Egmontstandbeeld%2C_Markt%2C_Zottegem%2C_Vlaanderen%2C_Belgi%C3%AB_02.jpg	Standbeeld van Egmont op de Markt van Zottegem	Lamoraal van Egmont	Opstand, gevangenschap en onthoofding
10505	nl	http://upload.wikimedia.org/wikipedia/commons/1/18/Guyana_in_its_region.svg	Guyana	Lijst van Nederlandse koloniën en handelsposten	Zuid-Amerika (WIC)
10506	nl	https://upload.wikimedia.org/wikipedia/commons/0/05/Lee_courthouse.jpg	Lee County Courthouse	Lee County (Texas)	Bevolkingsontwikkeling
10507	nl	https://upload.wikimedia.org/wikipedia/commons/2/2f/Tram2_Amsterdam.jpg	Tram 24 in de Ferdinand Bolstraat, 2005	Ferdinand Bolstraat	Trams
10508	nl	https://upload.wikimedia.org/wikipedia/commons/5/5d/Krommertstraat_7.jpg	Krommertstraat 7 (oktober 2018)	Krommertstraat	Gebouwen
10509	nl	https://upload.wikimedia.org/wikipedia/commons/0/0f/Nordenskirker_Sanktknud%28108%29.jpg	Relieken van Sint-Knud	Dom van Odense	Geschiedenis
10510	nl	https://upload.wikimedia.org/wikipedia/commons/2/24/Situationsplan_von_Calais.jpg	Calais en Saint-Pierre-lès-Calais, 1888	Saint-Pierre-lès-Calais	Geschiedenis
10511	nl	https://upload.wikimedia.org/wikipedia/commons/9/98/The_goblins_fell_back_a_little_when_he_began%2C_and_made_horrible_grimaces_all_through_the_rhyme..jpg	"""The goblins fell back a little when he began, and made horrible grimaces"" van Jessie Willcox Smith (1920). Tolkien schreef dat zijn orcs waren geïnspireerd op de goblins uit George MacDonalds fantasyboek The Princess and the Goblin uit 1872."	Ork	Fantastische literatuur
10512	nl	https://upload.wikimedia.org/wikipedia/commons/2/2b/Deelnemers_Eurovisie_Song_Festival_in_Den_Haag_Maggie_Mac_Neal_%28Nederland%29%2C_Bestanddeelnr_930-7861.jpg	Maggie bij repetitie	Amsterdam (Maggie MacNeal)	Hitnotering
10513	nl	https://upload.wikimedia.org/wikipedia/commons/5/57/Bunce_Island_north-west.JPG	Bunce Island in 1726 tijdens de periode van The Royal African Company	Bunce Island	Bloeiperiode
10514	nl	http://upload.wikimedia.org/wikipedia/commons/e/e1/Hyperviseur.png	Architectuur van Hypervisors	Hypervisor	Type1
10515	nl	https://upload.wikimedia.org/wikipedia/commons/0/07/RCEAd%C3%A9tail.svg	Detail van de RCEA	A79 (Frankrijk)	Beschrijving
10516	nl	https://upload.wikimedia.org/wikipedia/commons/6/60/Tondi_t%C3%A4nava_algus.jpg	De Tondi tänav	Kitseküla	Geschiedenis
10517	nl	https://upload.wikimedia.org/wikipedia/commons/b/b5/1978-05-20_Duesseldorf_Ratinger_Hof.jpg	Het Ratinger Hof in Düsseldorf (1978), een van de vroegste plekken waar punkers bij elkaar kwamen.	Punk in Duitsland	Het begin (1975-1980)
10518	nl	https://upload.wikimedia.org/wikipedia/commons/7/73/Catedral_de_Le%C3%B3n.jpg	kathedraal	León (Spanje)	Monumenten en interessante plaatsen
10519	nl	https://upload.wikimedia.org/wikipedia/commons/0/02/KKE_sign_in_Athens%2C_Greece.jpg	Een KKE bord in Athene, 2005	Communistische Partij van Griekenland	Verkiezingsresultaten
10520	nl	https://upload.wikimedia.org/wikipedia/commons/a/ac/Liam_One_Direction.jpg	Liam Payne	One Direction	Liam Payne
10521	nl	https://upload.wikimedia.org/wikipedia/commons/8/8f/Samsung_YP-Z5F.jpg	Een Samsung YP-Z5F met 2 GB flashgeheugen	Mp3-speler	Geschiedenis
10522	nl	https://upload.wikimedia.org/wikipedia/commons/e/ee/Emil_Jannings_-_no_watermark.jpg	"Emil Jannings
2 januari"	Lijst van personen overleden in 1950	Januari
10523	nl	https://upload.wikimedia.org/wikipedia/commons/4/4a/G%C3%BCterzug_Fleischmann-Viadukt%2C_09.07.2016.jpg	Een trein	Semmeringspoorlijn	Toekomst
10524	nl	http://upload.wikimedia.org/wikipedia/commons/1/19/Naturschutzgebittsscheld.jpg	Bord van het natuurreservaat Haard	Lijst van natuurgebieden in Luxemburg	Natuurreservaten
10525	nl	https://upload.wikimedia.org/wikipedia/commons/d/d6/Cinnamon_Dove_RWD.jpg	Kaneeltortel	Lijst van vogels in Sao Tomé en Principe	Orde duifachtigen (Columbiformes)
10526	nl	http://upload.wikimedia.org/wikipedia/commons/3/34/Doekle_Terpstra.jpg	"Doekle Terpstra (2007),
geboren in 1956"	16 april	Geboren
10527	nl	https://upload.wikimedia.org/wikipedia/commons/4/4e/1991%2C_persconferentie_Eurotop%2C_MECC_Maastricht.jpg	Persconferentie na de Eurotop van 1991 in het MECC	Geschiedenis van Maastricht	Recente geschiedenis (1945-nu)
10528	nl	https://upload.wikimedia.org/wikipedia/commons/d/db/Leopold_III_of_Belgium.jpg	"Leopold III van België
geboren op 3 november 1901"	Lijst van personen geboren in 1901	November
10529	nl	https://upload.wikimedia.org/wikipedia/commons/3/3c/Mercedes-Benz_Museum_at_night.jpg	Mercedes-Benz Museum	Caroline Bos	Werk
10530	nl	https://upload.wikimedia.org/wikipedia/commons/5/52/Bendixen_Ansgar.jpg	Het in 2006 teruggekeerde schilderij van Sint-Ansgarius	Sint-Trinitatiskerk (Altona)	Bouw en beschrijving
10531	nl	https://upload.wikimedia.org/wikipedia/commons/4/47/Maaseik.Catharinakerk005.jpg	Interieur met barokaltaar	Sint-Catharinakerk (Maaseik)	Exterieur
10532	nl	https://upload.wikimedia.org/wikipedia/commons/f/fa/Bijlhouwerstraat_8%2C_Utrecht.jpg	Physisch Laboratorium, Bijlhouwerstraat 8.	Natuurkundig Gezelschap te Utrecht	Geschiedenis
10533	nl	https://upload.wikimedia.org/wikipedia/commons/4/43/Markus_Rogan_AMADEUS2008.jpg	"Markus Rogan
geboren op 4 mei 1982"	Lijst van personen geboren in 1982	Mei
10534	nl	https://upload.wikimedia.org/wikipedia/commons/8/86/Dijle_bij_Zennegat.jpg	Dijle bij Zennegat bij Mechelen	Hydrografie van Vlaanderen	Stroomgebieden
10535	nl	https://upload.wikimedia.org/wikipedia/commons/1/1a/2017-03-19_Hannelore_Kraft_SPD_Parteitag_by_Olaf_Kosinsky-12.jpg	In maart 2017 op het partijcongres: Schulz met Hannelore Kraft, toen nog minister-president van Noordrijn-Westfalen	Martin Schulz	Kanselierskandidaat 2017
10536	nl	http://upload.wikimedia.org/wikipedia/commons/1/1b/Westerturm_09-08-02.jpg	De Westertoren, de laatst overgebleven stadspoort van Duderstadt	Naaldspits	Steentijd
10537	nl	https://upload.wikimedia.org/wikipedia/commons/8/8b/1904_denmark1.jpg	Deense kerstzegel en tevens eerste kerstzegel ter wereld, 1904.	Postzegels van Denemarken	20ste eeuw
10538	nl	https://upload.wikimedia.org/wikipedia/commons/2/2b/Kurt-Wuethrich.jpg	"Kurt Wüthrich
geboren op 4 oktober 1938"	Lijst van personen geboren in 1938	Oktober
10539	nl	http://upload.wikimedia.org/wikipedia/commons/d/d4/Netherlands%2C_Rijswijk%2C_Haagweg_%283%29.jpg	De Haagweg is een belangrijke verkeersader door Rijswijk	Rijswijk (Zuid-Holland)	Verkeer en vervoer
10540	nl	https://upload.wikimedia.org/wikipedia/commons/4/42/El_Evangelio_de_Tom%C3%A1s-Gospel_of_Thomas-_Codex_II_Manuscritos_de_Nag_Hammadi-The_Nag_Hammadi_manuscripts.png	Nag Hammadi Codex II	Evangelie van Thomas (Nag Hammadi)	Thomas en het koninkrijk
10541	nl	https://upload.wikimedia.org/wikipedia/commons/9/96/120701-060_Belgische_4x400m_EK_2012%2C_Helsinki.jpg	Evenals in 2010 was de Belgische mannenploeg op de 4 x 400 m estafette, hier met v.l.n.r. Jente Bouckaert, Antoine Gillet, Kevin en Jonathan Borlée, goed voor eremetaal, maar ditmaal werd het goud.	Europese kampioenschappen atletiek 2012	België
10542	nl	https://upload.wikimedia.org/wikipedia/commons/c/c3/Countries_attacked_by_the_Islamic_State.svg	Kaart (uit december 2016) met een overzicht van alle landen waarin terreuraanslagen zijn gepleegd door ofwel IS zelf, ofwel in naam van IS.	Islamitische Staat (in Irak en de Levant)	Aanslagen buiten het IS-gebied
10543	nl	https://upload.wikimedia.org/wikipedia/commons/4/45/20150515_ESC_2015_Lo%C3%AFc_Nottet_6332.jpg	Loïc Nottet haalde namens België de finale	Eurovisiesongfestival 2015	Eerste halve finale
10544	nl	https://upload.wikimedia.org/wikipedia/commons/0/02/NIMH_-_2011_-_0291_-_Aerial_photograph_of_Kootwijk%2C_The_Netherlands_-_1920_-_1940.jpg	Luchtfoto van het zenderpark, gemaakt tussen 1920 en 1940	Radio Kootwijk (zender)	Bouw zenderpark
10545	nl	https://upload.wikimedia.org/wikipedia/commons/a/a6/Yves_Leterme.jpg	Yves Leterme	Christen-Democratisch en Vlaams	Een nieuwe naam
10546	nl	https://upload.wikimedia.org/wikipedia/commons/5/59/RAVeL5-sign.JPG	RAVeL-lijn in Wallonië	Fietspad	Bijzondere fietspaden
10547	nl	https://upload.wikimedia.org/wikipedia/commons/5/52/Ostracvalve.png	Ostracode-schelpje	Mosselkreeftjes	Beschrijving
10548	nl	https://upload.wikimedia.org/wikipedia/commons/9/96/2017_Rally_de_Portugal_-_72.jpg	Sébastien Ogier greep naar zijn vijfde wereldtitel bij de rijders en M-Sport naar hun eerste bij de constructeurs	Wereldkampioenschap rally in 2017	Resultaten en kampioenschap standen
10549	nl	https://upload.wikimedia.org/wikipedia/commons/8/8a/Nieuw-Namen_-_Heilige_Jozefkerk_1.jpg	Heilige Jozefkerk	Nieuw-Namen	Bezienswaardigheden
10550	nl	http://upload.wikimedia.org/wikipedia/commons/d/dc/ProvideComfortF-15Incirlik.jpg	Een F-15 Eagle van de USAF vertrekt op missie vanaf de Incirlik Air Base in Zuidoost-Turkije op 1 mei 1995.	Operation Provide Comfort II	Einde
10551	nl	https://upload.wikimedia.org/wikipedia/commons/5/54/GrouchoCaricature.jpg	"Groucho Marx
geboren op 2 oktober 1890"	Lijst van personen geboren in 1890	Oktober
10552	nl	https://upload.wikimedia.org/wikipedia/commons/a/a3/Sir._Kento_Masuda_and_Don._Basilio_Cali.jpg	Kento Masuda bij de toetreding tot de ridders van de Orde van Malta.	Masuda Kento	2010-2019
10553	nl	https://upload.wikimedia.org/wikipedia/commons/f/f0/Aki_innen_IMGP0432.jpg	Binnenaanzicht van de Technohal (UT)	AKI Art & Design Enschede ArtEZ	Geschiedenis
10554	nl	https://upload.wikimedia.org/wikipedia/commons/a/a1/All_Blacks_Wallabies.jpg	De wedstrijd in 2005 in het Telstra Stadium in Sydney	Bledisloe Cup	Resultaten
10555	nl	https://upload.wikimedia.org/wikipedia/commons/0/06/Wereldkampioenschap_dammen_te_Amsterdam%2C_Deslauriers_-_Nationaal_Archief_-_911-6720.jpg	"Marcel Deslauriers
4 juni"	Lijst van personen overleden in 1988	Juni
10556	nl	https://upload.wikimedia.org/wikipedia/commons/e/e9/Wildstylez.jpg	Wildstylez performing at Intents Festival, 2011	Wildstylez	2009 - 2011
10557	nl	https://upload.wikimedia.org/wikipedia/commons/9/92/Marco_Reus_2014.jpg	Marco Reus	Dortmund	Geboren in Dortmund
10558	nl	http://upload.wikimedia.org/wikipedia/commons/d/da/Syncerus_caffer_%28male_laying%29.jpg	Kafferbuffel in Zambia	Kafferbuffel	Leefwijze
10559	nl	https://upload.wikimedia.org/wikipedia/commons/8/8d/Dora_Dolz%2C_1993.jpg	"Dora Dolz
overleden op 1 maart 2008"	Lijst van personen overleden in 2008/Voorstel	Maart
10560	nl	https://upload.wikimedia.org/wikipedia/commons/f/f0/Rua26a.jpg	Het terrein van de voormalige schroothandel op Rua 26	Goiânia-incident	Gebeurtenissen
10561	nl	https://upload.wikimedia.org/wikipedia/commons/3/30/Plan_palette-europe.svg	Afmetingen van een Europallet	Pallet	Europallet
10562	nl	http://upload.wikimedia.org/wikipedia/commons/5/52/Miri_roadside_N._mirabilis_var._echinostoma_6.jpg	Bovenbeker N. mirabilis var. echinostoma	Nepenthes mirabilis	Variëteiten
10563	nl	https://upload.wikimedia.org/wikipedia/commons/3/3a/Uncle_Vanya_act_III_Moscow_Art_Theatre.jpg	Derde bedrijf met het pistoolschot	Oom Vanja	Verhaal
10564	nl	http://upload.wikimedia.org/wikipedia/commons/1/1a/Grebbeberg_the_Netherlands.jpg	De Grebbeberg vanuit het zuiden gezien; de hellingen aan de noord- en oostzijde zijn veel geleidelijker.	Slag om de Grebbeberg	De Frontlijn wordt doorbroken
10565	nl	https://upload.wikimedia.org/wikipedia/commons/2/2b/Cornelis_Ploos_van_Amstel_%281726-1798%29_by_Jacobus_Buys.jpg	Jacobus Buys, 1766	Lijst van Nederlandse kunstschilders	18e eeuw
10566	nl	https://upload.wikimedia.org/wikipedia/commons/1/1b/Loosbroek%2C_kerk_foto3_2010-04-10_14.36.JPG	Sint-Antonius van Paduakerk	Loosbroek	Kerkelijke geschiedenis
10567	nl	https://upload.wikimedia.org/wikipedia/commons/b/bb/Curtis_Axel_%289401223928%29.jpg	"Joe Hennig
geboren op 1 oktober 1979"	Lijst van personen geboren in 1979	Oktober
10568	nl	https://upload.wikimedia.org/wikipedia/commons/c/c0/Charles_Courtney_Curran.jpg	"Charles Courtney Curran
overleden op 9 november 1942"	Lijst van personen overleden in 1942	November
10569	nl	https://upload.wikimedia.org/wikipedia/commons/c/c0/Gouda-Markt-en-Waag.JPG	De Markt vormt het centrum van de Goudse binnenstad	Gouda	Wijkoverzicht
10570	nl	https://upload.wikimedia.org/wikipedia/commons/b/b8/Italian_kickoff.jpg	Het Italiaans rugbyteam trapt af voor een wedstrijd tegen Schotland voor het Zeslandentoernooi 2007	Italiaans rugbyteam (mannen)	Geschiedenis
10571	nl	https://upload.wikimedia.org/wikipedia/commons/5/58/Glenda_Farrell_in_Smart_Blonde_trailer_cropped.jpg	"Glenda Farrell
1 mei"	Lijst van personen overleden in 1971	Mei
10572	nl	https://upload.wikimedia.org/wikipedia/commons/8/81/Josh_Homme--2003_August.jpg	Homme op V Festival in 2003.	Josh Homme	Queens of the Stone Age en andere projecten
10573	nl	http://upload.wikimedia.org/wikipedia/commons/4/46/Michael_Maze.jpg	"Michael Maze
geboren op 1 september 1981"	Lijst van personen geboren in 1981	September
10574	nl	https://upload.wikimedia.org/wikipedia/commons/1/10/Womens_beach_volleyball.jpg	Cook (voor) en Pottharst tijdens de Olympische Spelen in Sydney (2000)	Natalie Cook	1993 tot en met 1997
10575	nl	https://upload.wikimedia.org/wikipedia/commons/6/67/Chiesa_del_Ges%C3%B9_-_aprile_2019_-_15.jpg	De Passiekapel.	Chiesa del Gesù	Kapellen aan de rechterzijde van het schip
10576	nl	https://upload.wikimedia.org/wikipedia/commons/7/7f/Emile_Nelligan_1.jpg	Émile Nelligan.	Canadese literatuur	Franstalige auteurs (chronologisch)
10577	nl	https://upload.wikimedia.org/wikipedia/commons/c/c2/Rapetosaurus.jpg	Specimen FMNH PR 2209 in het Field Museum of Natural History, het meest complete bekende skelet van een titanosauriër	Rapetosaurus	Grootte en onderscheidende kenmerken
10578	nl	https://upload.wikimedia.org/wikipedia/commons/5/59/Garden_at_Vaucresson_MET_DT2555.jpg	De tuin van Vaucresson, 1920.	Édouard Vuillard	Levensloop
10579	nl	https://upload.wikimedia.org/wikipedia/commons/b/bf/Armstrong_Oscillator_Circuit.png	Voorbeeld van een Armstrong-oscillatorschakeling.	Armstrong oscillator	Werking
10580	nl	https://upload.wikimedia.org/wikipedia/commons/d/d3/Ommen_zegel.png	Zegel van de stad Ommen (16e eeuw)	Wapen van Stad Ommen	Verklaring
10581	nl	http://upload.wikimedia.org/wikipedia/commons/5/5e/OrangeMedalNetherlands.jpg	Ridder ON	Julius Luthmann	Den Haag 1923-1973
10582	nl	https://upload.wikimedia.org/wikipedia/commons/a/a0/Vespa_crabro_germana_with_prey_Richard_Bartz.jpg	Een hoornaar bewerkt een prooi, hangend aan een bloem	Europese hoornaar	Voedsel en vijanden
10583	nl	https://upload.wikimedia.org/wikipedia/commons/0/00/England-Saint-Michaels-Mount-1900-1.jpg	St Michael's Mount; Scylla en Charybdis?	Waar eens Troje lag	Odyssee
10584	nl	https://upload.wikimedia.org/wikipedia/commons/9/9d/Temnodontosaurus_platydon_%28cast%29%2C_Lyme_Regis%2C_England%2C_Early_Jurassic_-_Royal_Ontario_Museum_-_DSC09976.JPG	De kop van Temnodontosaurus toont de typische kenmerken van de ichthyosauriërschedel: een spitse snuit, achterwaarts geplaatste neusgaten en enorme oogkassen met scleraalringen	Ichthyosauria	Schedel en onderkaken
10585	nl	https://upload.wikimedia.org/wikipedia/commons/a/a6/Naaldwijk_grote_kerk.jpg	De Oude Kerk van Naaldwijk uit 1472.	Naaldwijk	Ontstaan en groei
10586	nl	https://upload.wikimedia.org/wikipedia/commons/5/51/Bekir_Refet%2C_1920s.jpg	Bekir Refet, held uit de jaren 20.	Fenerbahçe SK	Bekende spelers
